term 	 tf-idf weight 	 BM25 ranking 
 dove 	 1485.1384935738006 1.5764724048020944 
peace 	 470.26259260366226 1.696203933631454 
fly 	 2302.3207156373905 1.3009733480450503 
gif 	 105.05680985144718 1.5764724048020944 
index 	 264.3949990415182 1.3009733480450503 
htm 	 199.44227401687326 1.5764724048020944 
judgment 	 2548.843501367154 1.3009733480450503 
day 	 422.20019488799056 1.5764724048020944 
world 	 96.30189802164453 1.8574264630745667 
court 	 55.96036725058799 1.947674695880414 
nuclear 	 54.012737903078275 1.9623432972828938 
weapon 	 279.782690264679 1.8741265159511225 
brought 	 1590.9173940260357 1.3009733480450503 
book 	 981.6089643578628 1.3009733480450503 
commander 	 2033.6864022517345 1.3009733480450503 
robert 	 1297.343516818096 1.3009733480450503 
green 	 1634.3644441271797 1.3009733480450503 
retired 	 2127.4100155867077 1.3009733480450503 
chair 	 2238.261522117432 1.3009733480450503 
project_ 	 3638.233258657812 1.3009733480450503 
july 	 470.26259260366226 1.696203933631454 
remembered 	 2970.276987147601 1.3009733480450503 
free 	 769.3859449103943 1.3009733480450503 
dream 	 2078.7440493211975 1.3009733480450503 
fittingly 	 3638.233258657812 1.3009733480450503 
event 	 1758.8794470159557 1.3009733480450503 
decisively 	 3638.233258657812 1.3009733480450503 
shift 	 2033.6864022517345 1.3009733480450503 
image 	 1100.2057985612644 1.3009733480450503 
weapons 	 119.62861189716087 1.9387237274706706 
ultimate 	 1731.8527753728888 1.3009733480450503 
political 	 287.8830381951626 1.5764724048020944 
virility 	 3638.233258657812 1.3009733480450503 
symbol 	 2238.261522117432 1.3009733480450503 
shunned 	 3638.233258657812 1.3009733480450503 
pariah 	 3638.233258657812 1.3009733480450503 
occurred 	 1590.9173940260357 1.3009733480450503 
palace 	 2548.843501367154 1.3009733480450503 
hague 	 1227.5599440160906 1.5764724048020944 
december 	 1476.5816372722484 1.3009733480450503 
despite 	 1570.3052506072213 1.3009733480450503 
desperate 	 3216.7997728773653 1.3009733480450503 
countermoves 	 3638.233258657812 1.3009733480450503 
nato 	 470.26259260366226 1.696203933631454 
majority 	 756.1783306430958 1.5764724048020944 
assembly 	 1090.1564663982012 1.5764724048020944 
adopted 	 2033.6864022517345 1.3009733480450503 
resolution 	 775.1845191654214 1.5764724048020944 
international 	 102.53975422677415 1.8741265159511225 
justice 	 1297.343516818096 1.3009733480450503 
known 	 1109.6323439751313 1.3009733480450503 
threat 	 577.2842584576296 1.696203933631454 
circumstance 	 849.614500455718 1.696203933631454 
permitted 	 2373.9328013164713 1.3009733480450503 
law 	 50.85566167552324 1.898017523801798 
close 	 1426.5808735441692 1.3009733480450503 
answering 	 2548.843501367154 1.3009733480450503 
categoric 	 3638.233258657812 1.3009733480450503 
november's 	 3638.233258657812 1.3009733480450503 
public 	 109.30436556120776 1.8356172593160616 
hearings 	 1151.1603578186953 1.5764724048020944 
russia 	 606.4654791733665 1.5764724048020944 
china 	 1476.5816372722484 1.3009733480450503 
warned 	 2033.6864022517345 1.3009733480450503 
ruling 	 1758.8794470159557 1.3009733480450503 
france's 	 2455.1198880321813 1.3009733480450503 
words 	 1634.3644441271797 1.3009733480450503 
innocuous 	 3638.233258657812 1.3009733480450503 
question 	 595.4097153454205 1.5764724048020944 
essential 	 1494.2060596911858 1.3009733480450503 
core 	 1880.8872298569436 1.3009733480450503 
national 	 692.9675100909883 1.3009733480450503 
defence 	 990.0923290492003 1.696203933631454 
systems 	 958.947956321146 1.3009733480450503 
usa 	 655.2096447962209 1.5764724048020944 
added 	 747.1030298455929 1.5764724048020944 
advisory 	 1227.5599440160906 1.5764724048020944 
opinion 	 326.8728888254359 1.8059308726823358 
seriously 	 2127.4100155867077 1.3009733480450503 
disrupt 	 3216.7997728773653 1.3009733480450503 
current 	 285.60299457591833 1.696203933631454 
arms 	 1039.3720246605988 1.5764724048020944 
control 	 428.40449186387747 1.5764724048020944 
negotiations 	 508.42160056293363 1.7631590308767715 
reference 	 1459.4537440764968 1.3009733480450503 
stalled 	 3216.7997728773653 1.3009733480450503 
comprehensive 	 1365.730130741524 1.3009733480450503 
test 	 1476.5816372722484 1.3009733480450503 
ban 	 1395.3945505565384 1.3009733480450503 
treaty 	 852.9882649031305 1.5764724048020944 
geneva 	 2373.9328013164713 1.3009733480450503 
resume 	 2659.695007897879 1.3009733480450503 
contend 	 2970.276987147601 1.3009733480450503 
unanimous 	 3638.233258657812 1.3009733480450503 
demand 	 1459.4537440764968 1.3009733480450503 
court's 	 1119.130761058716 1.5764724048020944 
judges 	 746.087174039144 1.696203933631454 
honour 	 3638.233258657812 1.3009733480450503 
obligation 	 2180.3129327964025 1.3009733480450503 
article 	 1323.7824648774574 1.3009733480450503 
proliferation 	 2659.695007897879 1.3009733480450503 
pursue 	 2180.3129327964025 1.3009733480450503 
faith 	 1787.1636165219704 1.3009733480450503 
bring 	 1459.4537440764968 1.3009733480450503 
conclusion 	 1442.7951677701233 1.3009733480450503 
leading 	 937.1012947116994 1.3009733480450503 
disarmament 	 2373.9328013164713 1.3009733480450503 
aspects 	 1148.8717648267746 1.3009733480450503 
strict 	 1991.738736387668 1.3009733480450503 
effective 	 1272.0065174065508 1.3009733480450503 
remarkably 	 3638.233258657812 1.3009733480450503 
declared 	 663.9129121292226 1.696203933631454 
contrary 	 2659.695007897879 1.3009733480450503 
rules 	 1410.7877778109867 1.3009733480450503 
applicable 	 2238.261522117432 1.3009733480450503 
armed 	 1915.6395454716323 1.3009733480450503 
conflict 	 1272.0065174065508 1.3009733480450503 
imaginable 	 3216.7997728773653 1.3009733480450503 
exception 	 1039.3720246605988 1.5764724048020944 
paragraph 	 1819.116629328906 1.5764724048020944 
view 	 498.5997810853859 1.5764724048020944 
elements 	 1337.445961235509 1.3009733480450503 
disposal 	 2180.3129327964025 1.3009733480450503 
conclude 	 2455.1198880321813 1.3009733480450503 
definitively 	 3216.7997728773653 1.3009733480450503 
lawful 	 2795.3662870969183 1.3009733480450503 
unlawful 	 746.087174039144 1.696203933631454 
extreme 	 1952.4993155360248 1.3009733480450503 
self 	 550.1028992806322 1.5764724048020944 
survival 	 2180.3129327964025 1.3009733480450503 
stake 	 2659.695007897879 1.3009733480450503 
vote 	 378.0891653215479 1.7631590308767715 
findings 	 1731.8527753728888 1.3009733480450503 
president 	 514.816959219795 1.5764724048020944 
algerian 	 2970.276987147601 1.3009733480450503 
judge 	 331.46211270815013 1.8059308726823358 
bedjaoui 	 1819.116629328906 1.5764724048020944 
casting 	 1274.421750683577 1.5764724048020944 
deciding 	 2302.3207156373905 1.3009733480450503 
dissenting 	 2795.3662870969183 1.3009733480450503 
illegality 	 1819.116629328906 1.5764724048020944 
effectively 	 663.9129121292226 1.696203933631454 
british 	 498.06868656372853 1.696203933631454 
government 	 358.69423172999586 1.5764724048020944 
advised 	 2795.3662870969183 1.3009733480450503 
discretion 	 2795.3662870969183 1.3009733480450503 
answer 	 1880.8872298569436 1.3009733480450503 
hypothetical 	 1952.4993155360248 1.3009733480450503 
essentially 	 1915.6395454716323 1.3009733480450503 
declining 	 2548.843501367154 1.3009733480450503 
asserted 	 2659.695007897879 1.3009733480450503 
function 	 1297.343516818096 1.3009733480450503 
un's 	 3638.233258657812 1.3009733480450503 
judicial 	 1787.1636165219704 1.3009733480450503 
organ 	 2795.3662870969183 1.3009733480450503 
uphold 	 2659.695007897879 1.3009733480450503 
sweeping 	 2659.695007897879 1.3009733480450503 
powers 	 1590.9173940260357 1.3009733480450503 
permanent 	 795.4586970130179 1.5764724048020944 
security 	 351.71605049726713 1.696203933631454 
council 	 470.26259260366226 1.696203933631454 
project 	 668.7229806177545 1.5764724048020944 
network 	 1512.3566612861916 1.3009733480450503 
lawyers 	 1952.4993155360248 1.3009733480450503 
doctors 	 2127.4100155867077 1.3009733480450503 
activists 	 2180.3129327964025 1.3009733480450503 
evolved 	 2302.3207156373905 1.3009733480450503 
novel 	 1816.8280363369852 1.3009733480450503 
idea 	 1612.2529164712878 1.3009733480450503 
argued 	 677.8954674172448 1.696203933631454 
chemical 	 957.8197727358162 1.5764724048020944 
convention 	 976.2496577680124 1.5764724048020944 
outlaws 	 3638.233258657812 1.3009733480450503 
mass 	 344.09942909734224 1.5764724048020944 
destruction 	 957.8197727358162 1.5764724048020944 
regardless 	 1880.8872298569436 1.3009733480450503 
size 	 1681.1567571379458 1.3009733480450503 
specific 	 327.91309668362334 1.5764724048020944 
prohibition 	 1397.6831435484592 1.5764724048020944 
effects 	 475.7890845587401 1.5764724048020944 
severe 	 1880.8872298569436 1.3009733480450503 
extensive 	 1681.1567571379458 1.3009733480450503 
longlasting 	 3638.233258657812 1.3009733480450503 
generate 	 2302.3207156373905 1.3009733480450503 
unparalleled 	 2795.3662870969183 1.3009733480450503 
