term 	 tf-idf weight 	 BM25 ranking 
 efi_lgo3 	 335.1004317184827 1.9056891117417734 
jpg 	 74.24848957433562 1.9517058907864953 
as7mf2 	 167.55021585924135 1.9517058907864953 
htm 	 9.184841566566531 1.97555784233533 
ethical 	 53.1709185421501 1.967542677612302 
growth 	 103.08488704055684 1.9056891117417734 
fund 	 77.42169276293171 1.9517058907864953 
eligibility 	 218.65170538441185 1.9056891117417734 
rrsp 	 296.28418960712577 1.9056891117417734 
rrif 	 296.28418960712577 1.9056891117417734 
investment 	 68.00047013753775 1.9517058907864953 
objective 	 173.23961327629743 1.9056891117417734 
provide 	 94.83470301417276 1.9056891117417734 
current 	 78.91661692229322 1.9056891117417734 
income 	 134.4233711649405 1.9056891117417734 
preservation 	 212.0558553876544 1.9056891117417734 
capital 	 131.39560677380507 1.9056891117417734 
primarily 	 144.63337834540195 1.9056891117417734 
common 	 100.47976616500283 1.9056891117417734 
stock 	 150.53356722224024 1.9056891117417734 
canadian 	 164.60717520597098 1.9056891117417734 
companies 	 121.92733229134475 1.9056891117417734 
meet 	 116.02714341450648 1.9056891117417734 
criteria 	 195.94565933035466 1.9056891117417734 
bonds 	 212.0558553876544 1.9056891117417734 
debentures 	 335.1004317184827 1.9056891117417734 
bills 	 179.83546327305493 1.9056891117417734 
purchased 	 212.0558553876544 1.9056891117417734 
time 	 26.69795406025314 1.9517058907864953 
onsider 	 234.7619014417116 1.9056891117417734 
option 	 150.53356722224024 1.9056891117417734 
medium 	 173.23961327629743 1.9056891117417734 
risk 	 132.8890286104061 1.9056891117417734 
tolerance 	 257.4679474957688 1.9056891117417734 
family 	 95.60712905358358 1.9056891117417734 
funds 	 141.01922116169797 1.9056891117417734 
accounts 	 170.211848885162 1.9056891117417734 
services 	 78.91661692229322 1.9056891117417734 
as1 	 234.7619014417116 1.9056891117417734 
button 	 67.00089412268808 1.9056891117417734 
direct 	 124.47322523964317 1.9056891117417734 
copyright 	 43.67605724218212 1.9056891117417734 
surrey 	 212.0558553876544 1.9056891117417734 
metro 	 195.94565933035466 1.9056891117417734 
savings 	 162.00205433041697 1.9056891117417734 
august 	 129.94097953522245 1.9056891117417734 
