term 	 tf-idf weight 	 BM25 ranking 
 pictures 	 809.2595847287471 1.6357227904470266 
newsalert 	 1102.3735887997786 1.6357227904470266 
gif 	 87.08656606106805 1.6357227904470266 
index 	 21.91695386791532 1.914718049743542 
html 	 33.00774121481203 1.8617922905727156 
news 	 153.30446857551155 1.8617922905727156 
alert 	 451.84116699399135 1.7996122198809417 
cpj 	 95.7316338503183 1.9517058907864955 
website 	 382.9766599916145 1.7996122198809417 
http 	 55.28361336216112 1.7996122198809417 
www 	 54.792384669788305 1.7996122198809417 
org 	 214.1957224009717 1.8617922905727156 
immediate 	 370.36614421343467 1.7996122198809417 
release 	 211.52883174254697 1.8617922905727156 
july 	 584.7344079085011 1.6357227904470266 
contact 	 406.8510839114826 1.6357227904470266 
kakuna 	 666.6394266160329 1.7996122198809417 
kerina 	 666.6394266160329 1.7996122198809417 
mailto 	 183.06310898217106 1.6357227904470266 
africa 	 343.4558075758793 1.7996122198809417 
x103 	 1333.2788532320658 1.6357227904470266 
denounces 	 1333.2788532320658 1.6357227904470266 
continued 	 192.78477343215334 1.8617922905727156 
imprisonment 	 280.96983189004226 1.8617922905727156 
journalists 	 76.32351279463984 1.9517058907864955 
ote 	 666.6394266160329 1.7996122198809417 
ivoire 	 444.4262844106886 1.8617922905727156 
york 	 416.6071409810166 1.6357227904470266 
committee 	 263.60661380464705 1.7996122198809417 
protect 	 283.0295994628816 1.7996122198809417 
denounced 	 1333.2788532320658 1.6357227904470266 
ivoirien 	 376.987985683293 1.894521983548449 
abou 	 1333.2788532320658 1.6357227904470266 
drahamane 	 1333.2788532320658 1.6357227904470266 
sangar 	 376.987985683293 1.894521983548449 
emmanuel 	 1333.2788532320658 1.6357227904470266 
kor 	 301.2274446626609 1.8617922905727156 
freedom 	 242.36015203773718 1.7996122198809417 
neruda 	 444.4262844106886 1.8617922905727156 
independent 	 238.0885565266013 1.7996122198809417 
daily 	 572.1317819236865 1.6357227904470266 
newspaper 	 717.8074003190262 1.6357227904470266 
voie_ 	 301.5903885466344 1.914718049743542 
appealed 	 1017.5825851712331 1.6357227904470266 
government 	 297.33863946039133 1.6357227904470266 
december 	 153.00105780945995 1.894521983548449 
published 	 598.0006287468274 1.6357227904470266 
satirical 	 528.214278243851 1.7996122198809417 
article 	 274.3364976555257 1.7996122198809417 
suggesting 	 825.523292055415 1.6357227904470266 
presence 	 370.36614421343467 1.7996122198809417 
president 	 106.68904089094436 1.894521983548449 
henri 	 1158.6057637309596 1.6357227904470266 
konan 	 1333.2788532320658 1.6357227904470266 
edie 	 502.65064757772404 1.8617922905727156 
brought 	 659.3933935765806 1.6357227904470266 
bad 	 825.523292055415 1.6357227904470266 
luck 	 1102.3735887997786 1.6357227904470266 
soccer 	 1333.2788532320658 1.6357227904470266 
team 	 358.9037001595131 1.7996122198809417 
attended 	 861.5847046528647 1.6357227904470266 
african 	 740.7322884268693 1.6357227904470266 
champions 	 1231.1016459888083 1.6357227904470266 
cup 	 1158.6057637309596 1.6357227904470266 
final 	 598.0006287468274 1.6357227904470266 
local 	 394.4041095684293 1.6357227904470266 
lost 	 659.3933935765806 1.6357227904470266 
director 	 598.0006287468274 1.6357227904470266 
publications 	 467.91407770180894 1.6357227904470266 
reporter 	 861.5847046528647 1.6357227904470266 
arrested 	 389.7891298716693 1.7996122198809417 
sentenced 	 463.85024964933626 1.7996122198809417 
prison 	 358.9037001595131 1.7996122198809417 
offenses 	 1102.3735887997786 1.6357227904470266 
head 	 560.1295135783943 1.6357227904470266 
fined 	 1333.2788532320658 1.6357227904470266 
cfa 	 1507.951942733172 1.6357227904470266 
francs 	 1507.951942733172 1.6357227904470266 
banned 	 666.6394266160329 1.7996122198809417 
months 	 274.3364976555257 1.7996122198809417 
deputy 	 650.8502025543088 1.6357227904470266 
editor 	 634.5864952276409 1.6357227904470266 
january 	 292.36720395425056 1.7996122198809417 
term 	 493.56331666791436 1.6357227904470266 
june 	 263.60661380464705 1.7996122198809417 
appeals 	 825.523292055415 1.6357227904470266 
court 	 231.94099584125289 1.7996122198809417 
confirmed 	 903.6823339879827 1.6357227904470266 
jail 	 793.9821800310054 1.6357227904470266 
sentences 	 309.23349976622416 1.8617922905727156 
imposed 	 779.5782597433385 1.6357227904470266 
appealing 	 1017.5825851712331 1.6357227904470266 
supreme 	 686.9116151517586 1.6357227904470266 
bedie's 	 1333.2788532320658 1.6357227904470266 
attack 	 740.7322884268693 1.6357227904470266 
official 	 572.1317819236865 1.6357227904470266 
act 	 459.9134057265347 1.6357227904470266 
private 	 242.36015203773718 1.7996122198809417 
press 	 205.0306592036974 1.7996122198809417 
elected 	 740.7322884268693 1.6357227904470266 
office 	 137.77099214201453 1.8617922905727156 
firmly 	 1056.428556487702 1.6357227904470266 
establishing 	 861.5847046528647 1.6357227904470266 
government's 	 696.7952348663854 1.6357227904470266 
intolerance 	 1102.3735887997786 1.6357227904470266 
program 	 297.33863946039133 1.6357227904470266 
coordinator 	 1017.5825851712331 1.6357227904470266 
campaign 	 560.1295135783943 1.6357227904470266 
bedie 	 1507.951942733172 1.6357227904470266 
routinely 	 1231.1016459888083 1.6357227904470266 
imprisoned 	 954.2513492444448 1.6357227904470266 
newspapers 	 765.953319983229 1.6357227904470266 
effectively 	 825.523292055415 1.6357227904470266 
outlawing 	 1333.2788532320658 1.6357227904470266 
free 	 318.8902271668082 1.6357227904470266 
expression 	 686.9116151517586 1.6357227904470266 
cote 	 1333.2788532320658 1.6357227904470266 
increase 	 527.2132276092941 1.6357227904470266 
prosecutions 	 1333.2788532320658 1.6357227904470266 
resulted 	 765.953319983229 1.6357227904470266 
physical 	 476.1771130532026 1.6357227904470266 
attacks 	 842.9094956701268 1.6357227904470266 
occurred 	 659.3933935765806 1.6357227904470266 
savagely 	 1507.951942733172 1.6357227904470266 
beaten 	 1017.5825851712331 1.6357227904470266 
policeman 	 1158.6057637309596 1.6357227904470266 
security 	 437.3311417367335 1.6357227904470266 
