term 	 tf-idf weight 	 BM25 ranking 
 sport 	 166.61531494744273 1.925142169025794 
introduction 	 632.0500795725623 1.5720919815365018 
text 	 402.96262940791036 1.7604160135431688 
based 	 378.94659559089433 1.5720919815365018 
offline 	 1416.0737112267284 1.5720919815365018 
software 	 432.10589735224374 1.7604160135431688 
package 	 1008.9729125121739 1.5720919815365018 
write 	 313.0346545642875 1.7604160135431688 
abb 	 708.0368556133642 1.7604160135431688 
robot 	 65.74048815693038 1.9618572638897382 
programs 	 125.2965139578151 1.872575807786177 
language 	 331.91541216650666 1.7604160135431688 
arla 	 271.5938404731986 1.9132072900311463 
external 	 476.408936509818 1.7604160135431688 
personal 	 440.45829183868807 1.5720919815365018 
computer 	 714.6753874437236 1.5720919815365018 
download 	 645.5952289647068 1.7604160135431688 
controller 	 414.57068284753944 1.8336342473227272 
fully 	 795.4835808997108 1.5720919815365018 
compatible 	 708.0368556133642 1.7604160135431688 
programmes 	 1347.345497421952 1.5720919815365018 
created 	 285.9474919288832 1.7604160135431688 
workspace 	 515.1113584650775 1.7604160135431688 
alternative 	 684.6027388180374 1.5720919815365018 
files 	 312.05505628946366 1.8336342473227272 
release 	 258.53523879644627 1.8336342473227272 
following 	 453.70764644446484 1.5720919815365018 
capabilities 	 552.2503152148782 1.7604160135431688 
image 	 27.86705476618992 1.9731464445107192 
ball_red 	 95.85664957877597 1.968482260896955 
gif 	 5.321956814843048 1.9731464445107192 
file 	 78.56470860949887 1.9517058907864955 
compilation 	 752.3398947709385 1.7604160135431688 
convert 	 407.3907607097979 1.872575807786177 
program 	 90.8534731684529 1.872575807786177 
binary 	 460.7630936129137 1.872575807786177 
code 	 172.96253300509431 1.872575807786177 
task 	 201.7945825024348 1.8967449267994863 
diskette 	 921.5261872258274 1.7604160135431688 
functions 	 766.1280455199787 1.5720919815365018 
transfer 	 392.6921577351148 1.7604160135431688 
line 	 250.5930279156302 1.7604160135431688 
communication 	 252.31111095662567 1.8336342473227272 
serial 	 1504.679789541877 1.5720919815365018 
link 	 419.77932037051914 1.7604160135431688 
decompilation 	 921.5261872258274 1.7604160135431688 
block 	 268.64175293860694 1.8336342473227272 
editor 	 387.8028581946694 1.7604160135431688 
creating 	 816.7333853176918 1.5720919815365018 
position 	 447.01173056045184 1.5720919815365018 
orientation 	 989.0950480018021 1.5720919815365018 
data 	 258.7001628723852 1.7604160135431688 
dde 	 614.3507914838849 1.8336342473227272 
autocad 	 921.5261872258274 1.7604160135431688 
olp 	 921.5261872258274 1.7604160135431688 
import 	 989.0950480018021 1.5720919815365018 
irb 	 543.1876809463972 1.8336342473227272 
extension 	 504.48645625608697 1.7604160135431688 
olp3 	 1843.0523744516547 1.5720919815365018 
english 	 684.6027388180374 1.5720919815365018 
swedish 	 1291.1904579294137 1.5720919815365018 
converted 	 1243.7120485426183 1.5720919815365018 
standard 	 657.2069131249566 1.5720919815365018 
printing 	 1291.1904579294137 1.5720919815365018 
print 	 452.66973181642015 1.7604160135431688 
notepad 	 921.5261872258274 1.7604160135431688 
starts 	 1347.345497421952 1.5720919815365018 
