term 	 tf-idf weight 	 BM25 ranking 
 roelof 	 694.1366085597141 1.8140372555433064 
bruintjes 	 87.6759336592515 1.9711332632538325 
affiliate 	 1388.2732171194282 1.6597147047848464 
professor 	 905.8427794497063 1.6597147047848464 
research 	 266.25581470668527 1.6597147047848464 
cloud 	 169.14727023911948 1.9339160332400114 
physics 	 776.0119166486882 1.6597147047848464 
mesoscale 	 613.7315356147604 1.8140372555433064 
modeling 	 452.92138972485316 1.8140372555433064 
weather 	 136.3888023135188 1.921219850366983 
modifications 	 1133.3951661484268 1.6597147047848464 
improvement 	 660.8385590238654 1.6597147047848464 
microphysical 	 694.1366085597141 1.8140372555433064 
parameterization 	 1133.3951661484268 1.6597147047848464 
numerical 	 312.2740208461985 1.8720594751749207 
models 	 146.0556219174729 1.9024850928310069 
evaluating 	 452.92138972485316 1.8140372555433064 
seeding 	 347.06830427985705 1.9024850928310069 
efforts 	 219.1926393419504 1.8140372555433064 
development 	 134.9839469495298 1.8140372555433064 
techniques 	 462.82891831651654 1.6597147047848464 
developing 	 544.3532280629066 1.6597147047848464 
linked 	 760.0055704637155 1.6597147047848464 
atmospheric 	 284.6911585149365 1.8720594751749207 
hydrological 	 613.7315356147604 1.8140372555433064 
simulate 	 936.8220625385956 1.6597147047848464 
full 	 399.33148564584303 1.6597147047848464 
cycle 	 671.1513679402989 1.6597147047848464 
selected 	 607.0605845625663 1.6597147047848464 
publications 	 430.7780397889669 1.6597147047848464 
heymsfield 	 1388.2732171194282 1.6597147047848464 
krauss 	 613.7315356147604 1.8140372555433064 
examination 	 354.8646443886144 1.6597147047848464 
double 	 760.0055704637155 1.6597147047848464 
plate 	 1066.6529253396136 1.6597147047848464 
ice 	 776.0119166486882 1.6597147047848464 
crystals 	 1388.2732171194282 1.6597147047848464 
initiation 	 1066.6529253396136 1.6597147047848464 
precipitation 	 507.44181071735846 1.8140372555433064 
summertime 	 694.1366085597141 1.8140372555433064 
cumulus 	 613.7315356147604 1.8140372555433064 
clouds 	 312.2740208461985 1.8720594751749207 
journal 	 99.15062077354395 1.950024200042106 
sciences 	 415.98075691510314 1.8140372555433064 
verlinde 	 1388.2732171194282 1.6597147047848464 
kahn 	 1388.2732171194282 1.6597147047848464 
radar 	 671.1513679402989 1.6597147047848464 
observations 	 358.853484643759 1.8140372555433064 
seeded 	 694.1366085597141 1.8140372555433064 
continental 	 905.8427794497063 1.6597147047848464 
climatology 	 1014.8836214347169 1.6597147047848464 
applied 	 281.7162334269421 1.8140372555433064 
meteorology 	 507.44181071735846 1.8140372555433064 
steyn 	 1388.2732171194282 1.6597147047848464 
convective 	 566.6975830742134 1.8140372555433064 
characteristics 	 556.8968233976107 1.6597147047848464 
bethlehem 	 1388.2732171194282 1.6597147047848464 
water 	 538.3269152173502 1.6597147047848464 
archer 	 1014.8836214347169 1.6597147047848464 
zunkel 	 1388.2732171194282 1.6597147047848464 
daily 	 526.7244976440288 1.6597147047848464 
seasonal 	 878.5171151774254 1.6597147047848464 
variations 	 854.0734755448096 1.6597147047848464 
total 	 532.453183764995 1.6597147047848464 
amount 	 550.540261385968 1.6597147047848464 
ozone 	 1066.6529253396136 1.6597147047848464 
pretoria 	 1388.2732171194282 1.6597147047848464 
april 	 485.3709079577628 1.6597147047848464 
february 	 693.2633296549022 1.6597147047848464 
science 	 253.7122193719813 1.6597147047848464 
clark 	 284.6911585149365 1.8720594751749207 
hall 	 227.31467052253132 1.8720594751749207 
guiding 	 1014.8836214347169 1.6597147047848464 
modification 	 405.88743718430607 1.8140372555433064 
advanced 	 584.2224876698916 1.6597147047848464 
dimensional 	 972.5850202585194 1.6597147047848464 
management 	 193.30798738950207 1.8140372555433064 
irrigation 	 533.3264626698068 1.8140372555433064 
drainage 	 566.6975830742134 1.8140372555433064 
systems 	 182.95717587706073 1.8140372555433064 
integrated 	 396.6024830941758 1.8140372555433064 
perspectives 	 358.853484643759 1.8140372555433064 
american 	 128.6137190683805 1.8140372555433064 
society 	 176.09126679578236 1.8140372555433064 
civil 	 198.04333875385169 1.8140372555433064 
engineers 	 486.2925101292597 1.8140372555433064 
york 	 191.7715410864997 1.8140372555433064 
mather 	 1227.463071229521 1.6597147047848464 
terblanche 	 1388.2732171194282 1.6597147047848464 
steffens 	 1388.2732171194282 1.6597147047848464 
look 	 371.64303787508766 1.6597147047848464 
potential 	 476.08967032738457 1.6597147047848464 
hygroscopic 	 694.1366085597141 1.8140372555433064 
interactions 	 972.5850202585194 1.6597147047848464 
topographic 	 1133.3951661484268 1.6597147047848464 
airflow 	 1388.2732171194282 1.6597147047848464 
passage 	 760.0055704637155 1.6597147047848464 
winterstorm 	 1388.2732171194282 1.6597147047848464 
arizona 	 396.6024830941758 1.8140372555433064 
czys 	 1388.2732171194282 1.6597147047848464 
review 	 313.0160918501527 1.6597147047848464 
experiments 	 905.8427794497063 1.6597147047848464 
enhance 	 878.5171151774254 1.6597147047848464 
rainfall 	 1227.463071229521 1.6597147047848464 
dispersion 	 1388.2732171194282 1.6597147047848464 
tracer 	 1388.2732171194282 1.6597147047848464 
plumes 	 1388.2732171194282 1.6597147047848464 
mountainous 	 972.5850202585194 1.6597147047848464 
regions 	 607.0605845625663 1.6597147047848464 
central 	 405.960508052864 1.6597147047848464 
comparisons 	 760.0055704637155 1.6597147047848464 
results 	 201.31116048198845 1.8140372555433064 
thompson 	 468.4110312692978 1.8140372555433064 
brown 	 346.6316648274511 1.8140372555433064 
hage 	 1388.2732171194282 1.6597147047848464 
intercomparison 	 507.44181071735846 1.8140372555433064 
flight 	 405.88743718430607 1.8140372555433064 
icing 	 462.7577390398094 1.8720594751749207 
algorithms 	 486.2925101292597 1.8140372555433064 
wisp94 	 1388.2732171194282 1.6597147047848464 
real 	 462.82891831651654 1.6597147047848464 
time 	 221.21161935638315 1.6597147047848464 
prediction 	 793.2049661883516 1.6597147047848464 
evaluation 	 490.1545825887975 1.6597147047848464 
program 	 273.7403347413126 1.6597147047848464 
submitted 	 396.6024830941758 1.8140372555433064 
forecasting 	 405.88743718430607 1.8140372555433064 
bullock 	 1227.463071229521 1.6597147047848464 
kane 	 1066.6529253396136 1.6597147047848464 
statistical 	 717.706969287518 1.6597147047848464 
verification 	 905.8427794497063 1.6597147047848464 
gifs 	 301.94759314990205 1.8720594751749207 
blueline 	 1066.6529253396136 1.6597147047848464 
gif 	 26.724977944666385 1.8720594751749207 
home 	 51.805833585563846 1.8140372555433064 
iconhome 	 1014.8836214347169 1.6597147047848464 
shtml 	 486.2925101292597 1.8140372555433064 
iconup 	 1066.6529253396136 1.6597147047848464 
faculty 	 776.0119166486882 1.6597147047848464 
