term 	 tf-idf weight 	 BM25 ranking 
 srl 	 814.0313087907622 1.665823057055821 
raco 	 277.24213654708285 1.9044863407698513 
michigan 	 238.40470220507706 1.874643989570242 
image 	 58.68108934995466 1.9442803400223017 
false 	 794.2797262141162 1.665823057055821 
color 	 344.9829437226051 1.8176797200830688 
composite 	 916.6319318804361 1.665823057055821 
centered 	 776.1100315722233 1.665823057055821 
degrees 	 318.4676581135043 1.8176797200830688 
north 	 200.26264332050798 1.8176797200830688 
latitude 	 794.2797262141162 1.665823057055821 
west 	 201.94415555712146 1.8176797200830688 
longitude 	 859.5835566606704 1.665823057055821 
acquired 	 667.2469423527751 1.665823057055821 
spaceborne 	 794.2797262141162 1.665823057055821 
imaging 	 344.9829437226051 1.8176797200830688 
radar 	 218.89563293455154 1.874643989570242 
band 	 234.07971555785429 1.874643989570242 
synthetic 	 776.1100315722233 1.665823057055821 
aperture 	 794.2797262141162 1.665823057055821 
sir 	 636.9353162270086 1.665823057055821 
sar 	 743.6261400657905 1.665823057055821 
aboard 	 794.2797262141162 1.665823057055821 
space 	 474.91032804488 1.665823057055821 
shuttle 	 743.6261400657905 1.665823057055821 
endeavour 	 835.6667196063439 1.665823057055821 
sixth 	 835.6667196063439 1.665823057055821 
orbit 	 835.6667196063439 1.665823057055821 
full 	 390.72520362761367 1.665823057055821 
capability 	 702.2391466735628 1.665823057055821 
test 	 551.2895257578954 1.665823057055821 
instrument 	 715.2141066152311 1.665823057055821 
april 	 237.45516402244 1.8176797200830688 
produced 	 601.9431119062209 1.665823057055821 
data 	 381.3307595586457 1.665823057055821 
shown 	 610.1985671330095 1.665823057055821 
approximately 	 313.83436173545533 1.8176797200830688 
kilometers 	 397.1398631070581 1.8176797200830688 
miles 	 689.9658874452102 1.665823057055821 
located 	 300.97155595311045 1.8176797200830688 
eastern 	 509.9025323656677 1.665823057055821 
michigan's 	 1201.0091257288848 1.665823057055821 
upper 	 323.2981743500376 1.8176797200830688 
peninsula 	 993.0111295934515 1.665823057055821 
sault 	 1358.3535357159924 1.665823057055821 
ste 	 1358.3535357159924 1.665823057055821 
marie 	 1108.9685461883314 1.665823057055821 
south 	 201.94415555712146 1.8176797200830688 
whitefish 	 1358.3535357159924 1.665823057055821 
bay 	 656.6868988036546 1.665823057055821 
lake 	 215.5321162333584 1.874643989570242 
superior 	 331.0037098644838 1.874643989570242 
site 	 452.8541571459019 1.665823057055821 
boundary 	 993.0111295934515 1.665823057055821 
boreal 	 1358.3535357159924 1.665823057055821 
forests 	 458.31596594021806 1.8176797200830688 
northern 	 678.3223096192363 1.665823057055821 
temperate 	 1358.3535357159924 1.665823057055821 
transitional 	 1043.6647157417772 1.665823057055821 
zone 	 743.6261400657905 1.665823057055821 
expected 	 571.6314857804542 1.665823057055821 
ecologically 	 1358.3535357159924 1.665823057055821 
sensitive 	 702.2391466735628 1.665823057055821 
anticipated 	 814.0313087907622 1.665823057055821 
global 	 181.6315788954851 1.874643989570242 
changes 	 375.2770674709951 1.665823057055821 
resulting 	 557.8696966281236 1.665823057055821 
climatic 	 1108.9685461883314 1.665823057055821 
warming 	 993.0111295934515 1.665823057055821 
day 	 315.2613297354403 1.665823057055821 
percent 	 627.6687234709107 1.665823057055821 
chance 	 678.3223096192363 1.665823057055821 
obscured 	 1358.3535357159924 1.665823057055821 
extent 	 532.6214774581026 1.665823057055821 
cloud 	 993.0111295934515 1.665823057055821 
clover 	 1358.3535357159924 1.665823057055821 
difficult 	 564.6463192631012 1.665823057055821 
optical 	 951.6241362012237 1.665823057055821 
sensors 	 993.0111295934515 1.665823057055821 
representation 	 743.6261400657905 1.665823057055821 
red 	 289.41922014893197 1.8176797200830688 
lhh 	 1358.3535357159924 1.665823057055821 
green 	 610.1985671330095 1.665823057055821 
lhv 	 1358.3535357159924 1.665823057055821 
blue 	 169.58057740480908 1.9044863407698513 
chh 	 1358.3535357159924 1.665823057055821 
darker 	 1108.9685461883314 1.665823057055821 
smooth 	 835.6667196063439 1.665823057055821 
surfaces 	 1108.9685461883314 1.665823057055821 
frozen 	 496.50556479672576 1.8176797200830688 
lakes 	 496.50556479672576 1.8176797200830688 
forested 	 1201.0091257288848 1.665823057055821 
colors 	 993.0111295934515 1.665823057055821 
related 	 180.4067888026743 1.8176797200830688 
types 	 448.6889026682213 1.665823057055821 
trees 	 148.7252280131581 1.9228522058033555 
brightness 	 1201.0091257288848 1.665823057055821 
amount 	 538.6751695457533 1.665823057055821 
plant 	 667.2469423527751 1.665823057055821 
material 	 436.63297232195504 1.665823057055821 
covering 	 814.0313087907622 1.665823057055821 
surface 	 728.9758957675618 1.665823057055821 
called 	 397.21135917241435 1.665823057055821 
forest 	 371.81307003289527 1.8176797200830688 
biomass 	 1201.0091257288848 1.665823057055821 
black 	 262.32631734836986 1.665823057055821 
corner 	 951.6241362012237 1.665823057055821 
ice 	 759.2875218933285 1.665823057055821 
covered 	 618.7656215851158 1.665823057055821 
mosaic 	 1043.6647157417772 1.665823057055821 
lower 	 509.9025323656677 1.665823057055821 
bare 	 993.0111295934515 1.665823057055821 
agricultural 	 667.2469423527751 1.665823057055821 
fields 	 743.6261400657905 1.665823057055821 
hay 	 1201.0091257288848 1.665823057055821 
stubble 	 1358.3535357159924 1.665823057055821 
center 	 352.55812237856003 1.665823057055821 
left 	 494.24115053812966 1.665823057055821 
corresponds 	 1108.9685461883314 1.665823057055821 
swamp 	 1201.0091257288848 1.665823057055821 
lots 	 1043.6647157417772 1.665823057055821 
grass 	 835.6667196063439 1.665823057055821 
trufts 	 1358.3535357159924 1.665823057055821 
light 	 228.5486356698303 1.8176797200830688 
greenish 	 679.1767678579962 1.8176797200830688 
yellow 	 218.89563293455154 1.874643989570242 
pine 	 600.5045628644424 1.8176797200830688 
meters 	 814.0313087907622 1.665823057055821 
feet 	 743.6261400657905 1.665823057055821 
height 	 886.3203057546694 1.665823057055821 
brownish 	 1358.3535357159924 1.665823057055821 
jack 	 916.6319318804361 1.665823057055821 
various 	 277.34005251690155 1.665823057055821 
ages 	 689.9658874452102 1.665823057055821 
dark 	 407.0156543953811 1.8176797200830688 
patches 	 1108.9685461883314 1.665823057055821 
cuts 	 794.2797262141162 1.665823057055821 
managed 	 916.6319318804361 1.665823057055821 
hiawatha 	 1358.3535357159924 1.665823057055821 
national 	 258.72306708989197 1.665823057055821 
shore 	 886.3203057546694 1.665823057055821 
line 	 369.3806320574549 1.665823057055821 
mixture 	 993.0111295934515 1.665823057055821 
aspen 	 1358.3535357159924 1.665823057055821 
birch 	 1108.9685461883314 1.665823057055821 
surrounding 	 564.6463192631012 1.665823057055821 
mcnearny 	 1358.3535357159924 1.665823057055821 
johnson 	 728.9758957675618 1.665823057055821 
purple 	 1201.0091257288848 1.665823057055821 
containing 	 776.1100315722233 1.665823057055821 
hardwoods 	 1358.3535357159924 1.665823057055821 
accurate 	 814.0313087907622 1.665823057055821 
information 	 188.55634376499637 1.665823057055821 
land 	 515.3726765741144 1.665823057055821 
cover 	 538.6751695457533 1.665823057055821 
resource 	 627.6687234709107 1.665823057055821 
managers 	 759.2875218933285 1.665823057055821 
regional 	 557.8696966281236 1.665823057055821 
scale 	 667.2469423527751 1.665823057055821 
scientific 	 610.1985671330095 1.665823057055821 
models 	 571.6314857804542 1.665823057055821 
understand 	 557.8696966281236 1.665823057055821 
change 	 363.6334896450211 1.665823057055821 
gif 	 39.22351288861597 1.8176797200830688 
icons 	 689.9658874452102 1.665823057055821 
index 	 98.71326444477734 1.665823057055821 
html 	 89.19949114002775 1.665823057055821 
home 	 101.37865710278443 1.665823057055821 
page 	 111.42858807768772 1.665823057055821 
updated 	 243.18087665390843 1.665823057055821 
bruce 	 636.9353162270086 1.665823057055821 
chapman 	 728.9758957675618 1.665823057055821 
jpl 	 636.9353162270086 1.665823057055821 
nasa 	 586.2817300786829 1.665823057055821 
gov 	 526.7250420445625 1.665823057055821 
