term 	 tf-idf weight 	 BM25 ranking 
 progarmming 	 520.6024564197855 1.857208709115301 
follow 	 75.88257307032079 1.950024200042106 
ups 	 99.15062077354395 1.950024200042106 
post 	 57.32148976818686 1.950024200042106 
followup 	 121.57312753231493 1.950024200042106 
workspace 	 145.50223437162904 1.9259613354355152 
user 	 120.28012982812605 1.9259613354355152 
http 	 9.543004687515909 1.962282529939245 
www 	 9.458209258475362 1.962282529939245 
rosl 	 91.1798456492362 1.962282529939245 
com 	 10.498248025598578 1.962282529939245 
wwwboard 	 58.55137890866222 1.9746959525172725 
html 	 8.546647278835257 1.962282529939245 
faq 	 76.10389447205739 1.962282529939245 
posted 	 320.2775533293036 1.857208709115301 
luis 	 399.9948470023551 1.857208709115301 
carbajal 	 260.30122820989277 1.9259613354355152 
mailto 	 63.20035905336857 1.857208709115301 
ptd 	 520.6024564197855 1.857208709115301 
net 	 201.87259320650634 1.857208709115301 
november 	 208.836308774104 1.857208709115301 
exchange 	 103.22629900986902 1.9259613354355152 
ideas 	 88.4221264516007 1.9259613354355152 
numerical 	 175.65413672598666 1.9259613354355152 
control 	 30.650650322497814 1.962282529939245 
programming 	 142.50104446194663 1.9259613354355152 
electrical 	 152.20778894411478 1.9259613354355152 
machines 	 155.99278384316366 1.9259613354355152 
machinning 	 260.30122820989277 1.9259613354355152 
centers 	 129.98687431029418 1.9259613354355152 
name 	 170.39685932582756 1.857208709115301 
mail 	 153.50528606946426 1.857208709115301 
subject 	 76.91407719908031 1.857208709115301 
comments 	 98.47582345877886 1.857208709115301 
optional 	 139.6936187924623 1.9259613354355152 
link 	 118.57402880595832 1.9259613354355152 
url 	 160.1387766646518 1.9259613354355152 
title 	 100.53916127448537 1.857208709115301 
image 	 157.43076393886514 1.857208709115301 
