term 	 tf-idf weight 	 BM25 ranking 
 try 	 185.2590505398723 1.8881993321130068 
toys 	 177.2414348542627 1.942492316706286 
santa's 	 400.92373080604176 1.8881993321130068 
online 	 219.48436733219367 1.8881993321130068 
toy 	 354.4828697085254 1.8881993321130068 
bag 	 163.6583537326392 1.942492316706286 
please 	 119.20932530684703 1.8881993321130068 
plan 	 121.23978372303407 1.8881993321130068 
waiting 	 253.70968412451506 1.8881993321130068 
download 	 280.87584636776205 1.8881993321130068 
time 	 31.942195036374294 1.942492316706286 
load 	 261.6011475134928 1.8881993321130068 
faster 	 240.26474752855094 1.8881993321130068 
visit 	 170.84658810553694 1.8881993321130068 
gif 	 4.6307935921361585 1.9765931037699278 
facemaker 	 400.92373080604176 1.8881993321130068 
http 	 5.879368405182214 1.9765931037699278 
aol 	 126.85484206225753 1.942492316706286 
com 	 8.08485767488626 1.9708267366558834 
jrbuell2 	 400.92373080604176 1.8881993321130068 
shockface 	 400.92373080604176 1.8881993321130068 
html 	 13.163801555907177 1.942492316706286 
etch 	 100.23093270151044 1.9708267366558834 
dkimura 	 400.92373080604176 1.8881993321130068 
edible 	 354.4828697085254 1.8881993321130068 
starchy 	 400.92373080604176 1.8881993321130068 
tuber 	 400.92373080604176 1.8881993321130068 
head 	 148.92332305457307 1.8881993321130068 
winnie 	 354.4828697085254 1.8881993321130068 
acsu 	 354.4828697085254 1.8881993321130068 
buffalo 	 308.0420086110091 1.8881993321130068 
edu 	 73.27033921518425 1.8881993321130068 
cgi 	 103.63441151349936 1.942492316706286 
bin 	 240.26474752855094 1.8881993321130068 
potatoe 	 177.2414348542627 1.942492316706286 
www 	 14.567816559031018 1.942492316706286 
miserybay 	 135.27387540966788 1.942492316706286 
local 	 104.8614100836697 1.8881993321130068 
bay 	 96.9119432155173 1.942492316706286 
page 	 32.88861410222501 1.8881993321130068 
design 	 125.4951819064299 1.8881993321130068 
misery 	 253.70968412451506 1.8881993321130068 
publications 	 124.40572700802062 1.8881993321130068 
