term 	 tf-idf weight 	 BM25 ranking 
 return 	 87.28661931687488 1.9032850870921447 
homepage 	 343.64346082031796 1.8154924881538135 
images 	 73.07862207662306 1.9344670558978574 
home 	 51.359231571895194 1.8154924881538135 
gif 	 13.247295101882047 1.9344670558978574 
index 	 50.00892251607662 1.8154924881538135 
html 	 45.18916952027837 1.8154924881538135 
past 	 197.94448641927562 1.8154924881538135 
issues 	 159.71388951354905 1.8154924881538135 
pas 	 528.7288207502395 1.8154924881538135 
magazine 	 177.879960060484 1.9032850870921447 
library 	 300.9136518305824 1.8154924881538135 
htm 	 37.72345643411254 1.9032850870921447 
shared 	 293.24414376323506 1.8154924881538135 
vision 	 279.28764520774433 1.8154924881538135 
december 	 15.515980289319131 1.9887712368548396 
dec96 	 280.90612954109713 1.9032850870921447 
line 	 187.13115720972385 1.8154924881538135 
hor 	 561.8122590821943 1.8154924881538135 
moonwatch 	 688.1526722790269 1.8154924881538135 
full 	 197.94448641927562 1.8154924881538135 
moon 	 280.90612954109713 1.9032850870921447 
dec 	 192.3305396866361 1.9032850870921447 
cancer 	 376.7268991522727 1.8154924881538135 
sagittarius 	 688.1526722790269 1.8154924881538135 
times 	 26.733022458531973 1.9713785531922896 
month 	 279.28764520774433 1.8154924881538135 
poor 	 258.32066617643954 1.8154924881538135 
major 	 77.02385943888453 1.9032850870921447 
decisions 	 282.62121194816837 1.8154924881538135 
purchases 	 160.70011110593353 1.9344670558978574 
wear 	 449.0168949858458 1.8154924881538135 
disastrous 	 503.06731234910535 1.8154924881538135 
hold 	 293.24414376323506 1.8154924881538135 
meetings 	 355.759920120968 1.8154924881538135 
void 	 561.8122590821943 1.8154924881538135 
course 	 272.8971123249411 1.8154924881538135 
floating 	 464.37300513766587 1.8154924881538135 
balloons 	 608.4407465146332 1.8154924881538135 
helium 	 608.4407465146332 1.8154924881538135 
cant 	 528.7288207502395 1.8154924881538135 
trust 	 376.7268991522727 1.8154924881538135 
decision 	 204.6130210490658 1.8154924881538135 
skills 	 317.9819524191838 1.8154924881538135 
grounded 	 608.4407465146332 1.8154924881538135 
initiate 	 528.7288207502395 1.8154924881538135 
tends 	 528.7288207502395 1.8154924881538135 
fulfill 	 482.10033331780056 1.8154924881538135 
purpose 	 217.3030476234853 1.8154924881538135 
keep 	 269.83026391049253 1.8154924881538135 
eye 	 349.54218967488623 1.8154924881538135 
listed 	 412.39471590721433 1.8154924881538135 
column 	 449.0168949858458 1.8154924881538135 
dont 	 131.06116539031672 1.9344670558978574 
plans 	 199.5757194433506 1.8154924881538135 
expect 	 464.37300513766587 1.8154924881538135 
shortages 	 528.7288207502395 1.8154924881538135 
delays 	 561.8122590821943 1.8154924881538135 
goof 	 688.1526722790269 1.8154924881538135 
ups 	 393.18349617095015 1.8154924881538135 
pacific 	 349.54218967488623 1.8154924881538135 
standard 	 245.38569808237017 1.8154924881538135 
savings 	 332.6827901428206 1.8154924881538135 
time 	 109.65231131889682 1.8154924881538135 
midnight 	 132.18220518755987 1.9504443509762153 
december12 	 688.1526722790269 1.8154924881538135 
day 	 159.71388951354905 1.8154924881538135 
top 	 107.41923144533013 1.8154924881538135 
page 	 56.450606294863825 1.8154924881538135 
pages 	 133.82029223444763 1.8154924881538135 
attached 	 376.7268991522727 1.8154924881538135 
copyright 	 89.69190326519542 1.8154924881538135 
rights 	 105.95424348092571 1.8154924881538135 
reserved 	 127.50498011089448 1.8154924881538135 
