term 	 tf-idf weight 	 BM25 ranking 
 automotive 	 102.56077282562026 1.9506965284523436 
copied 	 558.3427476780518 1.7756091391123732 
technology 	 66.96198139037118 1.9387481516606595 
access 	 154.1035842201638 1.8811366046537437 
marketplace 	 279.1713738390259 1.8811366046537437 
section 	 364.6427178968923 1.7756091391123732 
october 	 308.2071684403276 1.7756091391123732 
low 	 282.65424265002486 1.7756091391123732 
emission 	 698.6013308587286 1.7756091391123732 
engines 	 135.3749433947972 1.9387481516606595 
russia 	 142.6390847397885 1.8811366046537437 
fuels 	 378.29142065909804 1.8811366046537437 
hydrogen 	 285.2342960460894 1.9191561745039556 
extracted 	 756.5828413181961 1.7756091391123732 
engine 	 79.7632496682931 1.9645334310411662 
methanol 	 427.8514440691341 1.8811366046537437 
catalysis 	 855.7028881382682 1.7756091391123732 
heat 	 488.91513002126845 1.7756091391123732 
exhaust 	 756.5828413181961 1.7756091391123732 
axial 	 427.8514440691341 1.8811366046537437 
automatically 	 478.31769000328626 1.7756091391123732 
changes 	 236.4080204773229 1.7756091391123732 
piston 	 427.8514440691341 1.8811366046537437 
stroke 	 349.3006654293643 1.8811366046537437 
depending 	 413.68381730802906 1.7756091391123732 
load 	 558.3427476780518 1.7756091391123732 
comes 	 413.68381730802906 1.7756091391123732 
gasoline 	 299.74064201932816 1.8811366046537437 
diesel 	 657.4627944981239 1.7756091391123732 
versions 	 541.4997735791889 1.7756091391123732 
markets 	 427.31317302004754 1.7756091391123732 
trucks 	 756.5828413181961 1.7756091391123732 
vehicles 	 420.33617954381873 1.7756091391123732 
stationary 	 599.4812840386563 1.7756091391123732 
aircraft 	 500.3612372185842 1.7756091391123732 
advantages 	 355.70230684856153 1.7756091391123732 
developers 	 312.77663333009593 1.8811366046537437 
claim 	 347.2881153452821 1.7756091391123732 
meet 	 296.28359836204334 1.7756091391123732 
zero 	 526.4332198401197 1.7756091391123732 
emissions 	 299.74064201932816 1.8811366046537437 
requirement 	 384.39821629964916 1.7756091391123732 
set 	 212.23010528104035 1.7756091391123732 
california 	 369.33166256057996 1.7756091391123732 
generating 	 625.5532666601919 1.7756091391123732 
onboard 	 698.6013308587286 1.7756091391123732 
distribution 	 343.2596799390445 1.7756091391123732 
storage 	 577.4377368233585 1.7756091391123732 
system 	 154.2485948215728 1.7756091391123732 
alternatively 	 625.5532666601919 1.7756091391123732 
run 	 328.1931261999753 1.7756091391123732 
directly 	 343.2596799390445 1.7756091391123732 
carbon 	 558.3427476780518 1.7756091391123732 
monoxide 	 855.7028881382682 1.7756091391123732 
hydrocarbons 	 855.7028881382682 1.7756091391123732 
reduced 	 434.64811411746723 1.7756091391123732 
nox 	 855.7028881382682 1.7756091391123732 
novel 	 427.31317302004754 1.7756091391123732 
arrangement 	 512.8038641281013 1.7756091391123732 
cylinders 	 756.5828413181961 1.7756091391123732 
reduce 	 360.1026540379073 1.7756091391123732 
fuel 	 239.15884500164313 1.8811366046537437 
consumption 	 478.31769000328626 1.7756091391123732 
weight 	 468.4517093806522 1.7756091391123732 
compared 	 302.12114357843984 1.7756091391123732 
similar 	 282.65424265002486 1.7756091391123732 
horsepower 	 756.5828413181961 1.7756091391123732 
idle 	 756.5828413181961 1.7756091391123732 
speeds 	 657.4627944981239 1.7756091391123732 
shortened 	 756.5828413181961 1.7756091391123732 
resulting 	 351.4333331181572 1.7756091391123732 
economy 	 287.95114450031485 1.7756091391123732 
status 	 236.4080204773229 1.7756091391123732 
patents 	 756.5828413181961 1.7756091391123732 
applied 	 347.2881153452821 1.7756091391123732 
available 	 223.8086812233547 1.7756091391123732 
license 	 500.3612372185842 1.7756091391123732 
estimated 	 384.39821629964916 1.7756091391123732 
cost 	 290.67503638112413 1.7756091391123732 
develop 	 321.21613272374657 1.7756091391123732 
boris 	 413.68381730802906 1.7756091391123732 
kisoulenko 	 855.7028881382682 1.7756091391123732 
chief 	 311.3501521011125 1.7756091391123732 
international 	 192.93664282143033 1.7756091391123732 
dept 	 541.4997735791889 1.7756091391123732 
central 	 250.22565798086015 1.7756091391123732 
automobile 	 500.3612372185842 1.7756091391123732 
scientific 	 384.39821629964916 1.7756091391123732 
research 	 164.11457544420685 1.7756091391123732 
institute 	 293.45182265868965 1.7756091391123732 
nami 	 855.7028881382682 1.7756091391123732 
avtomotornaya 	 855.7028881382682 1.7756091391123732 
moscow 	 374.17958445020247 1.7756091391123732 
fax 	 339.3416266301441 1.7756091391123732 
university 	 343.2596799390445 1.7756091391123732 
opportunities 	 360.1026540379073 1.7756091391123732 
developed 	 285.278169479577 1.7756091391123732 
internet 	 148.03022381419015 1.7756091391123732 
business 	 129.953032559831 1.7756091391123732 
network 	 355.70230684856153 1.7756091391123732 
ibn 	 756.5828413181961 1.7756091391123732 
artwork 	 625.5532666601919 1.7756091391123732 
pfd 	 625.5532666601919 1.7756091391123732 
gif 	 49.41817042354259 1.7756091391123732 
return 	 217.07802717066275 1.7756091391123732 
recreational 	 541.4997735791889 1.7756091391123732 
boat 	 558.3427476780518 1.7756091391123732 
building 	 282.65424265002486 1.7756091391123732 
industry 	 225.54203577948005 1.7756091391123732 
home 	 63.8640879546175 1.7756091391123732 
page 	 70.1951017405698 1.7756091391123732 
index2 	 541.4997735791889 1.7756091391123732 
htm 	 93.81659600135814 1.7756091391123732 
