term 	 tf-idf weight 	 BM25 ranking 
 aaa 	 262.471698556072 1.891355373814561 
industrial 	 85.65280080303785 1.9262345458443506 
robot 	 97.11663023182898 1.9441610360664963 
store 	 131.71154973256583 1.9262345458443506 
keep 	 305.0255157249046 1.7939062375209647 
simple 	 340.16325859109315 1.7939062375209647 
automation 	 568.6847878729018 1.7939062375209647 
efforts 	 245.64692340046165 1.7939062375209647 
successful 	 354.3591665465421 1.7939062375209647 
previous 	 147.57367390888737 1.891355373814561 
page 	 12.76274577101269 1.9550779889979808 
prevpage 	 687.8025830165419 1.7939062375209647 
gif 	 7.487601579324635 1.9624243262625638 
p0000234 	 388.9558582446674 1.891355373814561 
htm 	 7.753437686062656 1.9793276375186757 
nextpage 	 597.693449543749 1.7939062375209647 
p0000295 	 388.9558582446674 1.891355373814561 
index 	 14.132956363239046 1.9441610360664963 
home 	 14.51456544423125 1.9441610360664963 
homepage 	 388.4665209273159 1.7939062375209647 
mail 	 45.87514296328817 1.9550779889979808 
mail5 	 298.8467247718745 1.891355373814561 
customers 	 222.23415000966747 1.891355373814561 
automating 	 777.9117164893348 1.7939062375209647 
application 	 223.76333247396377 1.7939062375209647 
sounds 	 478.5756544001088 1.7939062375209647 
pretty 	 635.0921189624805 1.7939062375209647 
scary 	 687.8025830165419 1.7939062375209647 
risky 	 635.0921189624805 1.7939062375209647 
know 	 161.68286674934615 1.891355373814561 
automate 	 777.9117164893348 1.7939062375209647 
stay 	 395.1346491976975 1.7939062375209647 
competitive 	 388.4665209273159 1.7939062375209647 
believe 	 335.7560568732545 1.7939062375209647 
customer 	 444.46830001933495 1.7939062375209647 
legimate 	 777.9117164893348 1.7939062375209647 
concerns 	 182.38235927205093 1.891355373814561 
trust 	 425.8651903460474 1.7939062375209647 
salesman 	 544.9829854896876 1.7939062375209647 
telling 	 444.46830001933495 1.7939062375209647 
choice 	 301.6487024924807 1.7939062375209647 
money 	 245.64692340046165 1.7939062375209647 
system 	 140.22599529233892 1.7939062375209647 
cost 	 264.2500330737492 1.7939062375209647 
service 	 197.34366106423886 1.7939062375209647 
doing 	 161.68286674934615 1.891355373814561 
return 	 65.7812203547463 1.9262345458443506 
investment 	 157.85823424785548 1.891355373814561 
real 	 259.3437904359791 1.7939062375209647 
valid 	 395.1346491976975 1.7939062375209647 
questions 	 209.88349566862198 1.7939062375209647 
ones 	 417.4751825981632 1.7939062375209647 
resolve 	 444.46830001933495 1.7939062375209647 
watch 	 524.943397112144 1.7939062375209647 
bottom 	 444.46830001933495 1.7939062375209647 
line 	 211.53956901968783 1.7939062375209647 
closely 	 382.12379958528976 1.7939062375209647 
understand 	 319.4848482892338 1.7939062375209647 
optimal 	 478.5756544001088 1.7939062375209647 
single 	 280.1883349457524 1.7939062375209647 
objective 	 402.1633879628333 1.7939062375209647 
achieve 	 340.16325859109315 1.7939062375209647 
invested 	 568.6847878729018 1.7939062375209647 
capital 	 305.0255157249046 1.7939062375209647 
dollars 	 454.8738520168948 1.7939062375209647 
c0000210 	 777.9117164893348 1.7939062375209647 
check 	 344.72513016655824 1.7939062375209647 
p0000523 	 687.8025830165419 1.7939062375209647 
plug 	 687.8025830165419 1.7939062375209647 
play 	 323.3657334986923 1.7939062375209647 
robots 	 454.8738520168948 1.7939062375209647 
send 	 137.36873741889815 1.7939062375209647 
email 	 434.83426363935115 1.7939062375209647 
reveals 	 425.8651903460474 1.7939062375209647 
secrets 	 454.8738520168948 1.7939062375209647 
phone 	 295.14734781777474 1.7939062375209647 
est 	 544.9829854896876 1.7939062375209647 
click 	 159.94499164550734 1.7939062375209647 
icon 	 568.6847878729018 1.7939062375209647 
modified 	 388.4665209273159 1.7939062375209647 
saturday 	 507.5843160709561 1.7939062375209647 
january 	 301.6487024924807 1.7939062375209647 
