term 	 tf-idf weight 	 BM25 ranking 
 campus 	 569.6032214093939 1.7433293581972724 
interactive 	 2987.172159571387 1.1519737002375852 
map 	 1104.4462824182424 1.4619077565916911 
gifs 	 650.4888235186253 1.7433293581972724 
titlecm 	 4984.61892181243 1.1519737002375852 
gif 	 57.57389645148388 1.7433293581972724 
campusnews 	 4984.61892181243 1.1519737002375852 
building 	 274.41839641896354 1.7814328169008034 
index 	 362.2385430947116 1.1519737002375852 
accounting 	 2489.173937941955 1.1519737002375852 
dept 	 116.82706847745774 1.9469175983680782 
c4_ 	 356.04420870088785 1.9000891400365654 
administration 	 711.0780223360279 1.4619077565916911 
d5_ 	 226.57358735511048 1.9352440300884268 
annex 	 2492.309460906215 1.4619077565916911 
gamma 	 4984.61892181243 1.1519737002375852 
e7_ 	 415.38491015103585 1.8843998062732579 
admissions 	 4069.474885351894 1.1519737002375852 
office 	 170.77862567603884 1.831470227983349 
aeronautics 	 3492.0832839454597 1.1519737002375852 
aerospace 	 3492.0832839454597 1.1519737002375852 
mech 	 4984.61892181243 1.1519737002375852 
engr 	 1469.0757734686651 1.6059309183616928 
lab 	 582.0138806575767 1.7814328169008034 
c5_ 	 276.9232734340239 1.9214192117921678 
agriculture 	 656.1380515534004 1.6891354240252374 
forbes 	 2203.613660202998 1.4619077565916911 
c6_ 	 199.3847568724972 1.9427924747507903 
econ 	 4069.474885351894 1.1519737002375852 
agricultural 	 1224.265865594409 1.4619077565916911 
sciences 	 199.14481063809248 1.9064382696026723 
shantz 	 2492.309460906215 1.4619077565916911 
alumni 	 2203.613660202998 1.4619077565916911 
asociation 	 4984.61892181243 1.1519737002375852 
b4_ 	 553.8465468680478 1.8487799201192747 
animal 	 1337.5262580933459 1.4619077565916911 
anthropology 	 1107.8699501312126 1.1519737002375852 
b6_ 	 293.21287775367233 1.9169886682469814 
apache 	 4407.227320405996 1.1519737002375852 
hall 	 97.94126924755273 1.9427924747507903 
d7_ 	 996.9237843624859 1.7433293581972724 
architecture 	 1069.118777107347 1.1519737002375852 
arid 	 4984.61892181243 1.1519737002375852 
lands 	 3492.0832839454597 1.1519737002375852 
information 	 345.96351179788985 1.4619077565916911 
b5_ 	 1246.1547304531075 1.6891354240252374 
arizona 	 474.6693511744949 1.7814328169008034 
daily 	 945.6066951238707 1.4619077565916911 
wildcat 	 2203.613660202998 1.4619077565916911 
a7_ 	 2492.309460906215 1.4619077565916911 
health 	 667.1953675645432 1.4619077565916911 
center 	 68.0920278092605 1.9254007778642874 
f2_ 	 553.8465468680478 1.8487799201192747 
research 	 191.19921866436968 1.7433293581972724 
museum 	 1681.837883824677 1.4619077565916911 
art 	 314.29257065579617 1.6059309183616928 
graduate 	 1577.1654244456795 1.4619077565916911 
studies 	 297.45913399809945 1.6059309183616928 
d3_ 	 1661.5396406041434 1.6059309183616928 
arts 	 2531.9012521667846 1.1519737002375852 
associated 	 2047.1606048071674 1.1519737002375852 
students 	 1036.0140615554258 1.4619077565916911 
astronomy 	 4069.474885351894 1.1519737002375852 
e5_ 	 712.0884174017757 1.809685521669859 
athletics 	 4407.227320405996 1.1519737002375852 
intecollegiate 	 4984.61892181243 1.1519737002375852 
f6_ 	 1246.1547304531075 1.6891354240252374 
audio 	 3252.4441175931265 1.1519737002375852 
visual 	 2914.691682539026 1.1519737002375852 
auditorium 	 4984.61892181243 1.1519737002375852 
centennial 	 2203.613660202998 1.4619077565916911 
automatic 	 3252.4441175931265 1.1519737002375852 
bank 	 1677.3657578235122 1.1519737002375852 
teller 	 3829.835718999561 1.1519737002375852 
babcock 	 4984.61892181243 1.1519737002375852 
f3_ 	 1246.1547304531075 1.6891354240252374 
bear 	 3252.4441175931265 1.1519737002375852 
gymnasium 	 4984.61892181243 1.1519737002375852 
d6_ 	 293.21287775367233 1.9169886682469814 
bio 	 1469.0757734686651 1.6059309183616928 
east 	 548.8367928379271 1.6059309183616928 
west 	 741.0549849298775 1.4619077565916911 
b7_ 	 1246.1547304531075 1.6891354240252374 
bookstore 	 1661.5396406041434 1.6059309183616928 
ahsc 	 498.46189218124294 1.8628650502042194 
main 	 498.2121739014724 1.6059309183616928 
park 	 949.3387023489898 1.6059309183616928 
student 	 217.16773897337225 1.8487799201192747 
business 	 378.49956686132595 1.4619077565916911 
public 	 224.63125784330447 1.6891354240252374 
admin 	 2034.737442675947 1.4619077565916911 
b3_ 	 996.9237843624859 1.7433293581972724 
