term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 297.8255898303535 1.6715648912953824 
logo_asm 	 893.4767694910605 1.2582962316656605 
gif 	 38.41715579545794 1.8210925758205838 
subject 	 589.6745918596157 1.2582962316656605 
index 	 96.68391686441481 1.6715648912953824 
anthropology 	 887.0939456632879 1.2582962316656605 
ant 	 893.4767694910605 1.2582962316656605 
idx 	 47.02509313110845 1.939819564828812 
html 	 8.736572773920486 1.9614605151808375 
architecture 	 856.0650952348144 1.2582962316656605 
arc 	 422.02337603226397 1.5447290758120074 
art 	 377.49065659198567 1.5447290758120074 
black 	 770.8002364377211 1.2582962316656605 
studies 	 238.18156347746978 1.6715648912953824 
blk 	 893.4767694910605 1.2582962316656605 
stu 	 893.4767694910605 1.2582962316656605 
business 	 303.07228222869674 1.5447290758120074 
bus 	 850.028854943029 1.2582962316656605 
ecology 	 887.0939456632879 1.2582962316656605 
eco 	 887.0939456632879 1.2582962316656605 
economics 	 140.67445867742134 1.8210925758205838 
ecn 	 887.0939456632879 1.2582962316656605 
education 	 724.4263526510981 1.2582962316656605 
edu 	 729.4226306944462 1.2582962316656605 
film 	 826.4157696000682 1.2582962316656605 
flm 	 893.4767694910605 1.2582962316656605 
gen 	 159.60570135654626 1.7890845254125034 
healthcare 	 880.7716234456072 1.2582962316656605 
med 	 437.2543333161323 1.5447290758120074 
history 	 367.22830842662336 1.5447290758120074 
law 	 278.95334159189144 1.5447290758120074 
linguistics 	 880.7716234456072 1.2582962316656605 
lin 	 874.5086666322646 1.2582962316656605 
literature 	 838.1178241372249 1.2582962316656605 
lit 	 887.0939456632879 1.2582962316656605 
mass 	 754.9813131839713 1.2582962316656605 
media 	 577.5836263363803 1.2582962316656605 
mda 	 893.4767694910605 1.2582962316656605 
medicine 	 820.6408417504108 1.2582962316656605 
music 	 856.0650952348144 1.2582962316656605 
mus 	 887.0939456632879 1.2582962316656605 
philosophy 	 856.0650952348144 1.2582962316656605 
phi 	 893.4767694910605 1.2582962316656605 
political 	 631.6381134084653 1.2582962316656605 
science 	 364.7113153472231 1.5447290758120074 
psi 	 887.0939456632879 1.2582962316656605 
psychology 	 880.7716234456072 1.2582962316656605 
psy 	 880.7716234456072 1.2582962316656605 
religion 	 850.028854943029 1.2582962316656605 
rel 	 887.0939456632879 1.2582962316656605 
sci 	 862.1564617715172 1.2582962316656605 
shakespeare 	 893.4767694910605 1.2582962316656605 
sha 	 440.3858117228036 1.5447290758120074 
sociology 	 887.0939456632879 1.2582962316656605 
soc 	 887.0939456632879 1.2582962316656605 
sports 	 844.0467520645279 1.2582962316656605 
recreation 	 862.1564617715172 1.2582962316656605 
spt 	 868.3039707265016 1.2582962316656605 
urban 	 850.028854943029 1.2582962316656605 
urb 	 893.4767694910605 1.2582962316656605 
women's 	 850.028854943029 1.2582962316656605 
wom 	 893.4767694910605 1.2582962316656605 
home 	 297.88354311699214 1.2582962316656605 
page 	 163.7067582551051 1.5447290758120074 
topic 	 880.7716234456072 1.2582962316656605 
search 	 404.6194273498788 1.5447290758120074 
custom 	 434.1519853632508 1.5447290758120074 
micro 	 2693.363429798462 1.2582962316656605 
specific 	 719.4672219999235 1.2582962316656605 
paper 	 191.37136682043004 1.7431279432357174 
click 	 410.3204208752054 1.5447290758120074 
catalog 	 874.5086666322646 1.2582962316656605 
button 	 798.0285067827313 1.2582962316656605 
title 	 385.40011821886054 1.5447290758120074 
description 	 814.9154847082526 1.2582962316656605 
written 	 734.4566168532467 1.2582962316656605 
pgs 	 25.345541304665367 1.9668749686089728 
pages 	 776.1576949597963 1.2582962316656605 
footnotes 	 887.0939456632879 1.2582962316656605 
sources 	 776.1576949597963 1.2582962316656605 
price 	 255.16182242724005 1.6715648912953824 
