term 	 tf-idf weight 	 BM25 ranking 
 law 	 103.56388704999645 1.8027447350071315 
leading 	 1717.5052786300498 1.0076710528135855 
attorneys 	 3174.11394082871 1.0076710528135855 
web 	 6860.205896139856 0.5057754414684522 
header 	 9243.597103802882 0.5057754414684522 
gif 	 288.8198316886414 1.1503634177109439 
webhead 	 9989.565995846286 0.5057754414684522 
illinois 	 191.06222680338257 1.8714234568479524 
family 	 219.51554424871557 1.7959320991968188 
reaching 	 3510.955592385782 1.0076710528135855 
age 	 589.8525998151251 1.576572243595603 
majority 	 4157.737104177417 0.8073755263114146 
marriage 	 165.9285933947362 1.9143106946328186 
marry 	 1687.3901697556707 1.4606104314743455 
license 	 1949.5426760159987 1.3401346558440155 
requirements 	 1838.4382600371327 1.1503634177109439 
prenuptial 	 4421.776990431345 1.1503634177109439 
agreements 	 1139.060282466433 1.4606104314743455 
rights 	 256.6703159106773 1.604886980827877 
termination 	 6526.362956250793 0.8073755263114146 
grounds 	 1864.6751303573694 1.4064239729092278 
dissolution 	 1227.192850731397 1.576572243595603 
minimizing 	 7007.223540353944 0.8073755263114146 
litigation 	 4219.659074767432 1.0076710528135855 
attorney 	 938.0065031484096 1.5438860336274551 
fees 	 2795.4825833583673 1.1503634177109439 
divorce 	 1040.4181153956108 1.7038913414548575 
child 	 78.26479874231289 1.938422283844073 
custody 	 642.8153027640651 1.7533368875256121 
visitation 	 1176.7234697845458 1.7038913414548575 
parenting 	 3266.3276210639574 1.2571778466026422 
time 	 187.5026479483745 1.7038913414548575 
support 	 154.7604442445781 1.8207018866634723 
spousal 	 1024.661129140899 1.6709066791013365 
maintenance 	 387.47635280651974 1.7632214715289989 
division 	 710.3733134786194 1.604886980827877 
property 	 172.49608107601767 1.8741617891679396 
invalid 	 1633.1638105319787 1.5438860336274551 
marriages 	 1751.805885088486 1.4606104314743455 
legal 	 300.3896921298213 1.730866315283252 
separation 	 1198.8135089372327 1.5438860336274551 
paternity 	 2947.85132695423 1.3401346558440155 
abuse 	 89.73136591308877 1.9396795579204 
domestic 	 428.15448723735875 1.7038913414548575 
protection 	 232.12459032181155 1.8150908115248368 
hearing 	 1208.8680080950535 1.4606104314743455 
violations 	 5080.519739491933 0.8073755263114146 
changing 	 857.525737017482 1.4606104314743455 
reporting 	 1563.344171914016 1.3401346558440155 
contents 	 2738.5585841818165 1.0076710528135855 
report 	 277.50718645962525 1.730866315283252 
neglect 	 853.8842742840825 1.7180224896425924 
investigation 	 1132.5485391865943 1.3401346558440155 
risk 	 721.1818549425124 1.576572243595603 
adults 	 1504.6952538796209 1.4064239729092278 
remedies 	 4102.252340152728 1.0076710528135855 
