term 	 tf-idf weight 	 BM25 ranking 
 acu 	 1206.6750260287129 1.6416555055921096 
ratings 	 690.311781620271 1.7459295456429815 
congress 	 1133.7580723271874 1.3922100943986808 
gif 	 170.71731600860167 1.3922100943986808 
house 	 886.3750800984178 1.3922100943986808 
republicans 	 2413.3500520574257 1.3922100943986808 
bold 	 2271.2351082662462 1.3922100943986808 
type 	 1214.0424234990885 1.3922100943986808 
alabama_ 	 2413.3500520574257 1.3922100943986808 
edwards 	 1035.4676724304065 1.6416555055921096 
dickson 	 2956.064522659472 1.3922100943986808 
nichols 	 2956.064522659472 1.3922100943986808 
flowers 	 2613.6498154628594 1.3922100943986808 
buchanan 	 2613.6498154628594 1.3922100943986808 
bevill 	 2956.064522659472 1.3922100943986808 
jones 	 389.1142826739253 1.8031969285081368 
alaska_ 	 2413.3500520574257 1.3922100943986808 
arizona_ 	 2413.3500520574257 1.3922100943986808 
rhodes 	 2956.064522659472 1.3922100943986808 
udall 	 2413.3500520574257 1.3922100943986808 
steiger 	 1478.032261329736 1.6416555055921096 
conlan 	 2956.064522659472 1.3922100943986808 
arkansas_ 	 2413.3500520574257 1.3922100943986808 
alexander 	 1652.3702018295344 1.3922100943986808 
mills 	 1870.6355814553797 1.3922100943986808 
hammerschmidt 	 2956.064522659472 1.3922100943986808 
thornton 	 2413.3500520574257 1.3922100943986808 
california_ 	 2413.3500520574257 1.3922100943986808 
clausen 	 2956.064522659472 1.3922100943986808 
johnson 	 528.8018979576733 1.7459295456429815 
moss 	 2413.3500520574257 1.3922100943986808 
legget 	 2956.064522659472 1.3922100943986808 
burton 	 2413.3500520574257 1.3922100943986808 
mailliard 	 2956.064522659472 1.3922100943986808 
dellums 	 2956.064522659472 1.3922100943986808 
stark 	 2613.6498154628594 1.3922100943986808 
gubser 	 2956.064522659472 1.3922100943986808 
ryan 	 2271.2351082662462 1.3922100943986808 
talcott 	 2956.064522659472 1.3922100943986808 
teague 	 1478.032261329736 1.6416555055921096 
waldie 	 2956.064522659472 1.3922100943986808 
mcfall 	 2956.064522659472 1.3922100943986808 
sisk 	 2956.064522659472 1.3922100943986808 
mccloskey 	 2956.064522659472 1.3922100943986808 
mathias 	 2271.2351082662462 1.3922100943986808 
holifield 	 2956.064522659472 1.3922100943986808 
morhead 	 2956.064522659472 1.3922100943986808 
hawkins 	 2613.6498154628594 1.3922100943986808 
corman 	 2956.064522659472 1.3922100943986808 
clawson 	 2956.064522659472 1.3922100943986808 
rousselot 	 2956.064522659472 1.3922100943986808 
wiggins 	 2956.064522659472 1.3922100943986808 
rees 	 2956.064522659472 1.3922100943986808 
goldwater 	 2413.3500520574257 1.3922100943986808 
bell 	 1818.5874867204136 1.3922100943986808 
danielson 	 2956.064522659472 1.3922100943986808 
roybal 	 2956.064522659472 1.3922100943986808 
wilson 	 518.8190435652338 1.7459295456429815 
hosmer 	 2956.064522659472 1.3922100943986808 
pettis 	 2956.064522659472 1.3922100943986808 
hanna 	 2956.064522659472 1.3922100943986808 
anderson 	 964.4102005348166 1.6416555055921096 
ketchum 	 2956.064522659472 1.3922100943986808 
burke 	 804.4500173524752 1.7459295456429815 
brown 	 492.05759317460013 1.7459295456429815 
hinshaw 	 2956.064522659472 1.3922100943986808 
van 	 941.7610253700467 1.3922100943986808 
deerlin 	 2956.064522659472 1.3922100943986808 
bergener 	 2956.064522659472 1.3922100943986808 
veysey 	 2956.064522659472 1.3922100943986808 
colorado_ 	 2413.3500520574257 1.3922100943986808 
schroeder 	 2956.064522659472 1.3922100943986808 
brotzman 	 2956.064522659472 1.3922100943986808 
evans 	 2271.2351082662462 1.3922100943986808 
armstrong 	 2161.0021939170265 1.3922100943986808 
connecticut_ 	 2413.3500520574257 1.3922100943986808 
cotter 	 2956.064522659472 1.3922100943986808 
steele 	 2413.3500520574257 1.3922100943986808 
giaimo 	 2956.064522659472 1.3922100943986808 
mckinney 	 2956.064522659472 1.3922100943986808 
sarasin 	 2956.064522659472 1.3922100943986808 
grasso 	 2956.064522659472 1.3922100943986808 
delaware_ 	 2413.3500520574257 1.3922100943986808 
dupont 	 2613.6498154628594 1.3922100943986808 
florida_ 	 2413.3500520574257 1.3922100943986808 
sikes 	 2956.064522659472 1.3922100943986808 
fuqua 	 2956.064522659472 1.3922100943986808 
bennett 	 2070.935344860813 1.3922100943986808 
chappell 	 2956.064522659472 1.3922100943986808 
gunter 	 2956.064522659472 1.3922100943986808 
gibbons 	 2956.064522659472 1.3922100943986808 
haley 	 2613.6498154628594 1.3922100943986808 
frey 	 2271.2351082662462 1.3922100943986808 
bafalis 	 2956.064522659472 1.3922100943986808 
rogers 	 2271.2351082662462 1.3922100943986808 
lehman 	 2613.6498154628594 1.3922100943986808 
pepper 	 2613.6498154628594 1.3922100943986808 
fascell 	 2956.064522659472 1.3922100943986808 
georgia_ 	 2413.3500520574257 1.3922100943986808 
ginn 	 2956.064522659472 1.3922100943986808 
mathis 	 2613.6498154628594 1.3922100943986808 
brinkley 	 2956.064522659472 1.3922100943986808 
blackburn 	 2613.6498154628594 1.3922100943986808 
flynt 	 2956.064522659472 1.3922100943986808 
davis 	 606.1958289068045 1.7459295456429815 
stuckey 	 2956.064522659472 1.3922100943986808 
landrum 	 2956.064522659472 1.3922100943986808 
stephens 	 2413.3500520574257 1.3922100943986808 
hawaii_ 	 2413.3500520574257 1.3922100943986808 
matsunaga 	 2956.064522659472 1.3922100943986808 
mink 	 2413.3500520574257 1.3922100943986808 
idaho_ 	 2413.3500520574257 1.3922100943986808 
symms 	 2956.064522659472 1.3922100943986808 
hansen 	 1080.5010969585132 1.6416555055921096 
illinois_ 	 2413.3500520574257 1.3922100943986808 
metcalfe 	 2956.064522659472 1.3922100943986808 
murphy 	 1306.8249077314297 1.6416555055921096 
hanrahan 	 2956.064522659472 1.3922100943986808 
derwinski 	 2956.064522659472 1.3922100943986808 
kluczynski 	 2613.6498154628594 1.3922100943986808 
collier 	 2956.064522659472 1.3922100943986808 
collins 	 964.4102005348166 1.6416555055921096 
rostenkowski 	 2956.064522659472 1.3922100943986808 
yates 	 2956.064522659472 1.3922100943986808 
annunzio 	 2613.6498154628594 1.3922100943986808 
crane 	 1688.979540073473 1.3922100943986808 
mcclory 	 2956.064522659472 1.3922100943986808 
erlenborn 	 2956.064522659472 1.3922100943986808 
arends 	 2956.064522659472 1.3922100943986808 
brien 	 2413.3500520574257 1.3922100943986808 
michel 	 2070.935344860813 1.3922100943986808 
railsback 	 2956.064522659472 1.3922100943986808 
findley 	 2956.064522659472 1.3922100943986808 
madigan 	 2956.064522659472 1.3922100943986808 
shipley 	 2956.064522659472 1.3922100943986808 
price 	 283.47063031272097 1.6416555055921096 
gray 	 1994.7849090261475 1.3922100943986808 
indiana_ 	 2413.3500520574257 1.3922100943986808 
madden 	 2956.064522659472 1.3922100943986808 
landgrebe 	 2956.064522659472 1.3922100943986808 
brademas 	 2956.064522659472 1.3922100943986808 
roush 	 2956.064522659472 1.3922100943986808 
hillis 	 2956.064522659472 1.3922100943986808 
bray 	 2956.064522659472 1.3922100943986808 
myers 	 2613.6498154628594 1.3922100943986808 
zion 	 2956.064522659472 1.3922100943986808 
hamilton 	 2161.0021939170265 1.3922100943986808 
dennis 	 2413.3500520574257 1.3922100943986808 
ludnut 	 2956.064522659472 1.3922100943986808 
iowa_ 	 2413.3500520574257 1.3922100943986808 
mezvinsky 	 2956.064522659472 1.3922100943986808 
culver 	 2956.064522659472 1.3922100943986808 
